Name,Priority,Purpose,Pre Requisites,Steps,Expected Results,Actual Results,Pass/Fail
Interrupt Creating a Cryptogram,1,Ensure app does not crash and responds appropriately,* Player is logged in,"1. Launch the app
2. On the home screen select 'Create Cryptogram'
3. Enter unique puzzle name
4. Enter max attempts
5. Enter solution phrase
6. Update cipher
7. Exit the cyrptogram creation page by pressing the Android Home or Back button",App does not crash,App does not crash,Pass
Attempt to create cryptogram with used puzzle name,1,Ensure users can't create cryptograms with used names,* Player is logged in,"1. Launch the app
2. On the home screen select 'Create Cryptogram'
3. Enter used puzzle name
4. Enter max attempts
5. Enter solution phrase
6. Update cipher
7. Click submit",User is prompted that the crptogram has not been created and needs a unique puzzle name,User is prompted that the crptogram has not been created and needs a unique puzzle name,Pass
Attempt to create cryptogram without max attempts,1,Ensure users can't create cryptograms without supplying max attempts,* Player is logged in,"1. Launch the app
2. On the home screen select 'Create Cryptogram'
3. Enter unique puzzle name
4. Do not enter max attempts
5. Enter solution phrase
6. Update cipher
7. Click submit",User is prompted that the crptogram has not been created and needs max attempts supplied,User is prompted that the crptogram has not been created and needs max attempts supplied,Pass
Attempt to create cryptogram without solution phrase,0,Ensure users can't create cryptograms without a solution phrase,* Player is logged in,"1. Launch the app
2. On the home screen select 'Create Cryptogram'
3. Enter used puzzle name
4. Enter max attempts
5.Do not Enter solution phrase
6. Click submit",User is prompted that the crptogram has not been created and needs a solution phrase,User is prompted that the crptogram has not been created and needs a solution phrase,Pass
Attempt to create cryptogram without completing the cipher,0,Ensure users can't create cryptograms without completing the cipher,* Player is logged in,"1. Launch the app
2. On the home screen select 'Create Cryptogram'
3. Enter used puzzle name
4. Enter max attempts
5.Enter solution phrase
6. Partially complete the cipher
7. Click submit",User is prompted that the crptogram has not been created and needs a completed cipher,User is prompted that the crptogram has not been created and needs a completed cipher,Pass
Solve Cryptogram,0,Ensure users can solve cryptograms,* Player is logged in ,"1. Launch the app
2. On the home screen select 'Solve Cryptogram'
3. View list of playable cryptograms
4. Select a cryptogram
5. Enter correct solution phrase
6. Click submit
7. View playable cryptograms
8. Navigate to the home screen.
9. Click 'View Completed Cryptograms'
10. See the cryptogram that was just completed",User is prompted that they have correctly solved the cryptogram. Cryptogram is no longer playable. Cryptogram is seen in the completed list.,User is prompted that they have correctly solved the cryptogram. Cryptogram is no longer playable. Cryptogram is seen in the completed list.,Pass
Complete Cryptogram,0,Ensure that if a player reaches the max attempts that the cryptogram is marked as solved,* Player is logged in ,"1. Launch the app
2. On the home screen select 'Solve Cryptogram'
3. View list of playable cryptograms
4. Select a cryptogram
5. Enter incorrect solution phrase
6. Click submit
7.View notification that the submission was incorrect
8. Repeat steps 5-7 until max attempts are reached.",User is prompted that they have reached the max attempts. Cryptogram is no longer playable. Cryptogram is seen in the completed list as completed but not solved.,User is prompted that they have reached the max attempts. Cryptogram is no longer playable. Cryptogram is seen in the completed list as completed but not solved.,Pass
Interrupt Solving a Cryptogram,1,Ensure the app responds appropriately and does not crash.,* Player is logged in,"1. Launch the app
2. On the home screen select 'Solve Cryptogram'
3. View list of playable cryptograms
4. Select a cryptogram
5. Enter a soluton phrase
6. Exit the app
7. Relaunch the app
8. View cyptogram statistics
9.Verify cryptogram statistic has not been updated",App does not crash and cryptogram statistics for the player and app have not been updated.,App does not crash and cryptogram statistics for the player and app have not been updated.,Pass
Cryptogram Statistics - Solved Cryptograms,0,Ensure users are able to view cryptogram statistics,"* Player is logged in
*There are created cryptograms that have been solved","1. Launch the app
2. Select 'View Cryptogram Statistics'
3. Select a cryptogram that has been solved
4. Verify created date
5. Verify total solves
6. Verfify the top 3 players are correct",All information for a completed cryptogram is correct,All information for a completed cryptogram is correct,Pass
Cryptogram Statistics - Unsolved Cryptograms,0,Ensure users are able to view cryptogram statistics,"* Player is logged in
*There are created cryptograms","1. Launch the app
2. Select 'View Cryptogram Statistics'
3. Select a cryptogram that has not been solved
4. Verify created date
5. Verify total solves is 0
6. Verfify there are no top 3 players",All information for a completed cryptogram is correct,All information for a completed cryptogram is correct,Pass
